2026-04-17T12:29:09.962449300 | transactionId=TX1003 | type=DEPOSIT | riskScore=100 | riskLevel=HIGH | rules=[LargeAmountRule, SuspiciousActivityRule] | reasons=[Extreme transaction amount exceeding INR 5,00,000., Large deposit on a zero-balance account (Potential Shell Account Activity).]
2026-04-17T12:52:16.944778600 | transactionId=TX1003 | type=DEPOSIT | riskScore=75 | riskLevel=HIGH | rules=[LargeAmountRule, SuspiciousActivityRule] | reasons=[Large transaction amount exceeding INR 50,000., Large deposit on a zero-balance account (Potential Shell Account Activity).]
2026-04-17T13:12:29.811798200 | transactionId=TX1003 | type=DEPOSIT | riskScore=100 | riskLevel=HIGH | rules=[LargeAmountRule, SuspiciousActivityRule] | reasons=[Extreme transaction amount exceeding INR 5,00,000., Large deposit on a zero-balance account (Potential Shell Account Activity).]
2026-04-20T12:02:45.976986300 | transactionId=TX1001 | type=DEPOSIT | riskScore=100 | riskLevel=HIGH | rules=[LargeAmountRule, SuspiciousActivityRule] | reasons=[Extreme transaction amount exceeding INR 5,00,000., Inflow is 33.33x current balance (Potential Money Laundering).]
2026-04-21T00:50:31.604434800 | transactionId=TX1001 | type=DEPOSIT | riskScore=100 | riskLevel=HIGH | rules=[LargeAmountRule, SuspiciousActivityRule] | reasons=[Extreme transaction amount exceeding INR 5,00,000., Inflow is 5600.00x current balance (Potential Money Laundering).]
2026-04-21T11:18:26.350326500 | transactionId=TX1003 | type=WITHDRAWAL | riskScore=85 | riskLevel=HIGH | rules=[LargeAmountRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 5,00,000., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-21T15:32:48.351549400 | transactionId=TX1001 | type=DEPOSIT | riskScore=100 | riskLevel=HIGH | rules=[LargeAmountRule, SuspiciousActivityRule] | reasons=[Extreme transaction amount exceeding INR 5,00,000., Inflow is 560.00x current balance (Potential Money Laundering).]
2026-04-21T23:21:42.400823600 | transactionId=TX1001 | type=DEPOSIT | riskScore=100 | riskLevel=HIGH | rules=[LargeAmountRule, SuspiciousActivityRule] | reasons=[Extreme transaction amount exceeding INR 5,00,000., Inflow is 122222.22x current balance (Potential Money Laundering).]
2026-04-21T23:21:48.811962400 | transactionId=TX1001 | type=DEPOSIT | riskScore=75 | riskLevel=HIGH | rules=[LargeAmountRule, SuspiciousActivityRule] | reasons=[Large transaction amount exceeding INR 50,000., Inflow is 122.22x current balance (Potential Money Laundering).]
2026-04-22T00:00:55.576642800 | transactionId=TX1001 | type=DEPOSIT | riskScore=75 | riskLevel=HIGH | rules=[LargeAmountRule, SuspiciousActivityRule] | reasons=[Large transaction amount exceeding INR 50,000., Inflow is 156.71x current balance (Potential Money Laundering).]
2026-04-22T00:02:00.911637900 | transactionId=SIM-726 | type=TRANSFER | riskScore=85 | riskLevel=HIGH | rules=[LargeAmountRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 5,00,000., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-22T00:03:21.903875700 | transactionId=SIM-197 | type=TRANSFER | riskScore=80 | riskLevel=HIGH | rules=[LargeAmountRule, RapidFireRule, VelocityRule] | reasons=[Large transaction amount exceeding INR 50,000., Three or more transactions were observed within the last minute., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-22T00:03:30.920547900 | transactionId=SIM-23076 | type=TRANSFER | riskScore=80 | riskLevel=HIGH | rules=[LargeAmountRule, RapidFireRule, VelocityRule] | reasons=[Large transaction amount exceeding INR 50,000., Three or more transactions were observed within the last minute., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-22T20:41:48.834611200 | transactionId=SIM-51710 | type=WITHDRAWAL | riskScore=80 | riskLevel=HIGH | rules=[LargeAmountRule, RapidFireRule, VelocityRule] | reasons=[Large transaction amount exceeding INR 50,000., Three or more transactions were observed within the last minute., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-22T20:42:00.826290600 | transactionId=SIM-34665 | type=DEPOSIT | riskScore=85 | riskLevel=HIGH | rules=[LargeAmountRule, RapidFireRule] | reasons=[Extreme transaction amount exceeding INR 5,00,000., Three or more transactions were observed within the last minute.]
2026-04-22T20:42:39.068028500 | transactionId=TX1001 | type=DEPOSIT | riskScore=100 | riskLevel=HIGH | rules=[LargeAmountRule, SuspiciousActivityRule] | reasons=[Extreme transaction amount exceeding INR 5,00,000., Inflow is 560.00x current balance (Potential Money Laundering).]
2026-04-22T21:51:39.192259500 | transactionId=TX1001 | type=DEPOSIT | riskScore=100 | riskLevel=HIGH | rules=[LargeAmountRule, SuspiciousActivityRule] | reasons=[Extreme transaction amount exceeding INR 5,00,000., Inflow is 4074.07x current balance (Potential Money Laundering).]
